chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,face_shape
71.75,60.78,56.56,-3.0917,2.953,-0.8984,Heart_face_shape
66.85,53.26,71.49,-3.0961,2.684,-0.8825,Heart_face_shape
67.23,54.94,75.94,-1.9072,3.3252,-0.8376,Heart_face_shape
69.23,53.34,78.24,-1.3617,5.0096,-0.6153,Heart_face_shape
67.81,55.99,73.96,-2.4536,3.2102,-0.8103,Heart_face_shape
67.98,54.45,65.33,-2.5403,2.9833,-0.8477,Heart_face_shape
61.07,46.9,67.93,-2.5959,3.1238,-0.7849,Heart_face_shape
74.08,62.75,78.84,-1.7028,3.8766,-0.7329,Heart_face_shape
58.97,47.38,65.62,-2.1173,3.1115,-0.8889,Heart_face_shape
72.21,59.31,65.49,-2.4912,3.0783,-0.8825,Heart_face_shape
66.22,53.58,80.83,-1.7673,4.275,-0.6246,Heart_face_shape
68.09,53.36,71.42,-1.716,3.9758,-0.7354,Heart_face_shape
64.81,51.82,64.39,-2.7886,2.543,-1.0166,Heart_face_shape
64.15,51.07,70.53,-2.73,3.148,-0.8013,Heart_face_shape
71.72,58.18,77.27,-1.7261,3.3767,-0.882,Heart_face_shape
63.67,50.74,60.97,-1.9936,3.501,-0.8282,Heart_face_shape
66.18,52.93,65.9,-2.7263,2.839,-0.9214,Heart_face_shape
64.6,51.74,65.81,-3.4221,2.8263,-0.9093,Heart_face_shape
64.05,49.76,64.71,-1.456,5.1155,-0.5781,Heart_face_shape
64.76,52.02,63.89,-2.292,3.6873,-0.7644,Heart_face_shape
74.54,61.43,64.91,-3.0779,3.1742,-0.8126,Heart_face_shape
66.83,54.88,63.26,-2.3595,3.3814,-0.8208,Heart_face_shape
64.43,53.83,70.92,-1.5782,4.1543,-0.7444,Heart_face_shape
73.93,61.91,72.39,-2.9786,3.3368,-0.7489,Heart_face_shape
62.3,50.67,60.96,-3.0223,3.5356,-0.7272,Heart_face_shape
62.03,48.03,71.18,-2.1984,3.6266,-0.7322,Heart_face_shape
70.63,57.26,71.14,-2.2867,3.1972,-0.8549,Heart_face_shape
62.1,49.16,71.72,-2.1143,3.2331,-0.8187,Heart_face_shape
63.24,49.93,65.81,-2.4989,2.8145,-0.924,Heart_face_shape
68.81,56.35,61.26,-2.5177,3.0817,-0.9158,Heart_face_shape
67.28,53.19,71.68,-2.3141,3.3453,-0.8267,Heart_face_shape
