chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,face_shape
76.9,64.15,84.72,-3.2373,2.9326,-0.8434,0.6243,1.8277,-0.7185,1.1409,-0.8197,-1.3132,Round_face_shape
73.21,61.0,97.0,-1.9207,3.6914,-0.727,0.5735,1.7986,-0.7264,1.0316,-0.7493,-1.3065,Round_face_shape
66.18,50.74,78.94,-2.5005,3.0481,-0.8172,0.7402,1.9275,-0.5935,1.4267,-0.8468,-1.1441,Round_face_shape
80.64,69.06,74.65,-2.0068,3.4503,-0.9139,0.6336,2.7585,-0.3494,1.7478,-0.6107,-0.9638,Round_face_shape
70.43,57.14,76.93,-2.4366,3.4372,-0.7174,0.6486,2.3022,-0.4679,1.4933,-0.6987,-1.0771,Round_face_shape
67.17,55.12,82.95,-2.5293,3.3532,-0.727,0.6027,2.0798,-0.6028,1.2536,-0.7557,-1.2538,Round_face_shape
67.48,56.09,76.64,-2.0262,3.1951,-0.8452,0.7323,2.3079,-0.4038,1.6901,-0.6824,-0.9319,Round_face_shape
73.07,61.86,77.56,-2.2645,3.2231,-0.8266,0.6359,2.0803,-0.5033,1.3229,-0.6658,-1.047,Round_face_shape
70.21,56.74,86.03,-2.3202,3.4034,-0.7406,0.5719,1.8902,-0.7191,1.0811,-0.7774,-1.3592,Round_face_shape
69.03,55.86,82.01,-4.8134,2.2883,-0.8947,0.7044,1.8408,-0.7603,1.2966,-0.9857,-1.3995,Round_face_shape
60.41,49.71,80.6,-3.8053,2.921,-0.759,0.6631,1.9514,-0.6234,1.294,-0.8067,-1.2164,Round_face_shape
64.53,51.75,85.67,-3.6543,2.5153,-0.8424,0.6514,1.8203,-0.8332,1.1857,-0.9879,-1.5166,Round_face_shape
63.1,49.5,73.38,-2.8508,2.7104,-0.852,0.7705,2.4672,-0.414,1.9008,-0.7869,-1.0214,Round_face_shape
72.24,60.87,73.18,-2.2042,3.7441,-0.7339,0.6246,2.3053,-0.3905,1.44,-0.5623,-0.9002,Round_face_shape
75.84,64.41,85.66,-3.2014,2.8111,-0.8526,0.7616,2.0648,-0.4981,1.5725,-0.7832,-1.0284,Round_face_shape
74.51,61.16,76.96,-2.755,3.9357,-0.6164,0.6148,2.5998,-0.3604,1.5983,-0.576,-0.9369,Round_face_shape
73.49,61.19,75.02,-2.983,2.6144,-0.9794,0.7168,1.9933,-0.6216,1.4289,-0.8882,-1.239,Round_face_shape
70.38,59.89,81.32,-1.6304,4.5689,-0.606,0.5598,2.9025,-0.3049,1.6247,-0.4954,-0.885,Round_face_shape
64.34,48.29,80.79,-3.583,2.9976,-0.7285,0.8248,2.3039,-0.4155,1.9002,-0.7896,-0.9574,Round_face_shape
69.75,55.87,81.46,-1.9469,3.3294,-0.8557,0.5907,1.8398,-0.759,1.0867,-0.8249,-1.3965,Round_face_shape
69.77,55.04,73.5,-2.4735,3.1529,-0.804,0.7867,2.37,-0.3979,1.8643,-0.7418,-0.943,Round_face_shape
69.23,53.7,77.04,-2.4807,3.6875,-0.6735,0.6285,2.2002,-0.4745,1.3828,-0.6561,-1.044,Round_face_shape
61.22,48.46,76.6,-2.7513,2.9924,-0.8181,0.6251,2.0548,-0.6163,1.2844,-0.7915,-1.2663,Round_face_shape
79.89,67.72,95.78,-4.9945,2.8979,-0.768,0.6282,1.7747,-0.78,1.1149,-0.8696,-1.3843,Round_face_shape
75.02,60.98,65.87,-3.0463,2.8179,-0.9081,0.7337,2.5056,-0.3999,1.8384,-0.7353,-1.0021,Round_face_shape
73.65,61.88,76.15,-3.7823,2.3949,-0.9785,0.7375,2.0199,-0.5972,1.4896,-0.8896,-1.2063,Round_face_shape
66.41,52.0,77.94,-3.6961,2.8643,-0.8003,0.6783,1.9121,-0.6648,1.297,-0.8622,-1.2712,Round_face_shape
64.49,52.78,69.78,-2.3505,3.0462,-0.8753,0.6253,1.9515,-0.5942,1.2203,-0.7251,-1.1596,Round_face_shape
66.43,53.16,72.11,-2.7465,3.0708,-0.7872,0.7236,2.5415,-0.3812,1.839,-0.701,-0.9688,Round_face_shape
56.65,43.35,71.49,-2.1653,4.0048,-0.6478,0.5953,2.2904,-0.4533,1.3635,-0.6181,-1.0383,Round_face_shape
74.51,63.56,75.1,-2.8237,2.9906,-0.8692,0.7401,2.6912,-0.3413,1.9918,-0.6798,-0.9184,Round_face_shape
71.01,58.73,76.68,-4.799,2.5905,-0.8594,0.8227,2.441,-0.3858,2.0081,-0.7747,-0.9417,Round_face_shape
62.59,47.38,75.54,-2.7954,3.0643,-0.7612,0.7466,2.2798,-0.4592,1.7022,-0.7817,-1.047,Round_face_shape
72.62,59.46,74.05,-2.9075,3.0128,-0.8244,0.7221,2.1358,-0.4853,1.5424,-0.7485,-1.0365,Round_face_shape
65.64,52.67,78.34,-3.0796,2.7539,-0.8859,0.7212,2.0188,-0.5799,1.456,-0.8444,-1.1708,Round_face_shape
70.64,56.73,71.27,-3.059,2.8727,-0.9021,0.8083,2.1289,-0.4435,1.7209,-0.7631,-0.9441,Round_face_shape
83.45,72.14,72.16,-2.5602,2.9704,-0.9841,0.6401,2.3317,-0.4646,1.4926,-0.6934,-1.0832,Round_face_shape
66.42,53.76,73.7,-3.2522,2.7919,-0.8487,0.6715,2.0264,-0.5938,1.3607,-0.808,-1.2034,Round_face_shape
69.59,54.8,79.11,-3.2816,2.981,-0.7721,0.6842,2.0628,-0.5687,1.4115,-0.8026,-1.173,Round_face_shape
78.32,65.67,75.57,-2.5706,2.7953,-0.9519,0.6762,2.1421,-0.5636,1.4485,-0.8163,-1.2072,Round_face_shape
66.41,53.04,77.87,-3.9029,2.688,-0.8306,0.7024,1.9459,-0.6356,1.3669,-0.8687,-1.2367,Round_face_shape
72.31,60.32,81.26,-2.6654,2.7014,-1.0054,0.6332,1.6594,-0.9031,1.0507,-0.949,-1.4987,Round_face_shape
69.9,58.35,76.33,-2.7576,3.0906,-0.8307,0.6682,1.9545,-0.5626,1.306,-0.7348,-1.0997,Round_face_shape
67.38,52.98,82.49,-2.2593,3.6268,-0.6997,0.7978,2.4006,-0.3432,1.9153,-0.6573,-0.8238,Round_face_shape
63.8,50.81,71.02,-2.8799,2.8984,-0.8596,0.8176,2.6868,-0.3257,2.1968,-0.7156,-0.8752,Round_face_shape
67.98,53.96,87.83,-2.7258,2.8947,-0.83,0.6533,1.6304,-0.8707,1.0651,-0.9274,-1.4196,Round_face_shape
72.58,59.88,77.88,-3.6393,2.2334,-1.0554,0.8684,2.0959,-0.5073,1.8201,-0.9234,-1.0633,Round_face_shape
73.49,58.5,87.48,-3.9799,2.7261,-0.8425,0.6778,1.8187,-0.7578,1.2327,-0.9342,-1.3783,Round_face_shape
70.61,56.88,64.13,-3.0119,3.3804,-0.7624,0.764,2.7831,-0.2973,2.1264,-0.6322,-0.8274,Round_face_shape
70.08,59.04,73.65,-2.1796,2.9964,-0.9966,0.5965,1.9878,-0.6165,1.1856,-0.7309,-1.2254,Round_face_shape
71.06,57.02,70.75,-2.1022,3.6667,-0.7583,0.6417,2.5387,-0.3589,1.6292,-0.5847,-0.9111,Round_face_shape
63.66,49.24,72.33,-1.3808,3.6216,-0.8491,0.6046,1.9577,-0.6293,1.1837,-0.7449,-1.232,Round_face_shape
72.65,56.82,89.51,-3.6171,2.018,-1.0676,0.842,1.8094,-0.8133,1.5236,-1.2391,-1.4716,Round_face_shape
70.35,56.12,90.7,-2.2925,2.721,-0.9427,0.7461,1.7516,-0.7568,1.3068,-0.989,-1.3255,Round_face_shape
80.06,68.63,74.97,-3.1472,2.2088,-1.143,0.7813,2.0482,-0.6092,1.6002,-0.9749,-1.2478,Round_face_shape
72.47,58.3,74.7,-1.8489,2.7517,-1.0464,0.6904,2.0888,-0.5649,1.4421,-0.8146,-1.1799,Round_face_shape
62.33,47.34,82.05,-3.5216,2.2943,-0.9149,0.855,2.0577,-0.5816,1.7594,-1.0233,-1.1968,Round_face_shape
72.49,57.67,73.81,-3.0075,2.2344,-1.0572,0.7757,2.041,-0.6373,1.5833,-1.0091,-1.3008,Round_face_shape
72.9,58.67,78.3,-2.8075,2.2535,-1.0655,0.8893,1.7868,-0.6475,1.589,-1.0289,-1.1569,Round_face_shape
70.96,58.23,72.8,-3.2118,2.1438,-1.0829,0.859,2.0751,-0.5425,1.7824,-0.967,-1.1258,Round_face_shape
68.36,54.64,81.37,-2.0787,2.7807,-0.9308,0.8018,2.0392,-0.5176,1.635,-0.8463,-1.0555,Round_face_shape
72.64,60.16,77.3,-1.4381,3.2454,-1.0415,0.6132,1.7967,-0.7683,1.1018,-0.8465,-1.3804,Square_face_shape
71.01,57.08,79.88,-1.4538,3.3382,-1.0357,0.7047,1.7544,-0.7145,1.2363,-0.8834,-1.2536,Square_face_shape
63.78,49.81,68.38,-2.4008,2.4077,-1.0627,0.735,1.8372,-0.7458,1.3505,-1.0072,-1.3702,Square_face_shape
67.05,54.25,64.27,-2.3898,2.5307,-1.0003,0.9533,2.9296,-0.2853,2.793,-0.7968,-0.8358,Square_face_shape
69.27,54.12,78.51,-2.1907,2.5624,-1.0365,0.8429,1.765,-0.6724,1.4878,-1.0003,-1.1867,Square_face_shape
66.81,53.26,75.58,-1.6679,2.9362,-1.0244,0.6767,1.8514,-0.6879,1.2529,-0.8619,-1.2736,Square_face_shape
67.75,54.32,73.08,-1.5772,3.1439,-0.9442,0.5802,1.9676,-0.7062,1.1415,-0.8062,-1.3895,Square_face_shape
77.82,64.64,88.6,-3.7023,2.3561,-1.0335,0.6928,1.6708,-0.9427,1.1576,-1.0913,-1.5751,Square_face_shape
67.24,55.49,71.24,-1.876,3.4226,-0.8835,0.6506,2.5952,-0.3769,1.6884,-0.6364,-0.9782,Square_face_shape
70.57,57.01,77.09,-2.0607,3.8279,-0.7086,0.6163,2.027,-0.5128,1.2492,-0.6406,-1.0395,Square_face_shape
71.3,58.51,74.41,-2.609,2.5759,-1.0142,0.7324,1.8063,-0.6993,1.323,-0.9252,-1.2631,Square_face_shape
74.29,61.39,83.97,-8.4755,2.0641,-0.9326,0.7802,1.9295,-0.691,1.5055,-1.0403,-1.3333,Square_face_shape
72.19,59.46,89.38,-4.9698,2.715,-0.7994,0.7158,2.1777,-0.525,1.5588,-0.8184,-1.1433,Square_face_shape
69.57,57.74,68.54,-4.2605,2.578,-0.9129,0.7901,2.1833,-0.4666,1.7251,-0.8049,-1.0187,Square_face_shape
74.34,61.59,72.66,-2.4207,2.9876,-0.9408,0.6479,1.858,-0.6557,1.2038,-0.7894,-1.2183,Square_face_shape
74.07,59.79,83.05,-2.9389,3.2695,-0.7543,0.7163,2.0461,-0.5123,1.4656,-0.7508,-1.0482,Square_face_shape
65.62,51.74,73.89,-2.6556,3.1498,-0.8206,0.7051,2.0622,-0.5175,1.4541,-0.7525,-1.0672,Square_face_shape
75.58,64.6,75.65,-3.8679,2.958,-0.8588,0.6459,2.1329,-0.504,1.3776,-0.6944,-1.075,Square_face_shape
65.11,53.25,69.5,-3.1825,2.9506,-0.8113,0.7413,2.4049,-0.4021,1.7827,-0.7168,-0.967,Square_face_shape
69.43,57.46,69.74,-2.4142,3.6038,-0.7451,0.7292,2.5566,-0.3239,1.8642,-0.6038,-0.8281,Square_face_shape
75.95,60.77,74.68,-2.937,2.6213,-1.0287,0.7498,1.7437,-0.7379,1.3074,-0.9646,-1.2866,Square_face_shape
74.8,59.72,81.48,-2.482,2.8021,-0.9543,0.8146,1.7639,-0.6374,1.4368,-0.9158,-1.1242,Square_face_shape
71.04,59.21,76.44,-2.9644,2.6846,-0.9539,0.6362,1.7016,-0.8471,1.0826,-0.9171,-1.4415,Square_face_shape
71.57,55.56,87.0,-2.358,3.176,-0.7753,0.6727,1.8895,-0.6626,1.271,-0.8421,-1.2519,Square_face_shape
70.13,55.68,89.42,-3.2662,2.1359,-1.087,0.8241,1.5457,-0.9939,1.2739,-1.2661,-1.5363,Square_face_shape
81.47,67.67,87.85,-4.0271,2.1847,-1.078,0.6968,1.6674,-0.9991,1.1619,-1.1609,-1.666,Square_face_shape
68.93,57.95,72.8,-3.6593,2.7816,-0.8591,0.6987,2.2574,-0.4896,1.5773,-0.7723,-1.1052,Square_face_shape
70.88,59.29,80.81,-2.1464,3.2779,-0.81,0.6472,2.1209,-0.527,1.3726,-0.7234,-1.1177,Square_face_shape
70.38,55.46,78.88,-1.96,3.2611,-0.8867,0.6429,1.7274,-0.7662,1.1105,-0.8509,-1.3236,Square_face_shape
60.84,49.1,71.57,-2.7266,3.8202,-0.6465,0.6082,2.5869,-0.3651,1.5734,-0.5745,-0.9445,Square_face_shape
71.71,58.28,70.67,-2.7184,2.8796,-0.9082,0.8093,2.3385,-0.3929,1.8926,-0.7435,-0.9187,Square_face_shape
71.08,57.83,70.66,-2.2768,2.8973,-0.9594,0.7655,2.0868,-0.492,1.5974,-0.7859,-1.0267,Square_face_shape
74.67,64.7,69.91,-2.2414,3.8314,-0.7273,0.5585,2.8208,-0.3419,1.5755,-0.5387,-0.9644,Square_face_shape
72.27,60.83,70.91,-2.7433,2.202,-1.2197,0.8804,1.916,-0.5706,1.6868,-0.9625,-1.0933,Square_face_shape
68.45,53.41,67.27,-1.7643,3.648,-0.8036,0.6511,2.4034,-0.4281,1.5649,-0.67,-1.0289,Square_face_shape
70.96,55.79,65.66,-1.94,3.7186,-0.7554,0.6944,2.4982,-0.3694,1.7347,-0.6408,-0.9228,Square_face_shape
73.95,58.34,94.47,-3.072,3.5699,-0.6457,0.6227,1.7326,-0.7172,1.0788,-0.7738,-1.2427,Square_face_shape
68.52,54.61,70.7,-2.6298,2.9841,-0.8786,0.667,2.1333,-0.5598,1.4228,-0.7965,-1.1942,Square_face_shape
69.77,58.58,68.72,-2.0009,3.6428,-0.8256,0.5693,1.9687,-0.5896,1.1208,-0.6608,-1.1607,Square_face_shape
70.59,56.76,88.45,-2.8482,2.8157,-0.8509,0.6445,1.6711,-0.9051,1.077,-0.9748,-1.5124,Square_face_shape
75.27,60.27,75.31,-3.0577,2.9402,-0.8659,0.7641,2.1164,-0.4966,1.6172,-0.8031,-1.051,Square_face_shape
68.49,57.06,68.15,-3.0229,2.55,-1.019,0.8863,2.2954,-0.388,2.0345,-0.7894,-0.8906,Square_face_shape
73.77,61.69,73.39,-2.9017,2.6739,-0.9804,0.6867,1.7718,-0.7459,1.2167,-0.9076,-1.3216,Square_face_shape
68.02,53.34,68.59,-2.5797,3.3779,-0.7685,0.668,2.2654,-0.4615,1.5132,-0.6983,-1.0455,Square_face_shape
76.87,61.13,79.79,-1.6841,4.4245,-0.6593,0.6126,2.2996,-0.4111,1.4086,-0.5792,-0.9455,Square_face_shape
65.38,51.06,71.66,-1.6264,4.3534,-0.6875,0.5101,1.972,-0.5775,1.006,-0.5809,-1.1388,Square_face_shape
72.21,56.69,72.02,-5.2671,1.9416,-1.0831,0.9251,1.974,-0.5905,1.8263,-1.0784,-1.1657,Square_face_shape
68.09,54.63,73.23,-2.5463,2.9281,-0.9195,0.7954,2.2151,-0.4417,1.7619,-0.7782,-0.9784,Square_face_shape
66.43,52.85,64.1,-2.3635,3.1842,-0.8133,0.8017,2.4957,-0.3385,2.0008,-0.6772,-0.8447,Square_face_shape
70.61,58.52,81.9,-3.2808,2.8176,-0.8363,0.7302,1.924,-0.5736,1.405,-0.8059,-1.1035,Square_face_shape
72.17,56.13,88.43,-4.3714,2.7361,-0.7865,0.7421,1.825,-0.6967,1.3544,-0.9437,-1.2716,Square_face_shape
66.29,53.6,61.5,-2.3586,3.1108,-0.9088,0.6977,2.1803,-0.4811,1.5212,-0.7319,-1.0491,Square_face_shape
71.68,60.05,78.4,-1.9519,3.7049,-0.7862,0.653,2.0071,-0.4865,1.3106,-0.6376,-0.9764,Square_face_shape
73.0,60.45,79.93,-1.8583,3.8403,-0.789,0.597,1.6833,-0.6788,1.0049,-0.6821,-1.1426,Square_face_shape
77.05,63.82,80.28,-2.0558,3.6044,-0.7891,0.6367,1.8753,-0.5891,1.1939,-0.7033,-1.1047,Square_face_shape
71.88,60.73,78.87,-3.0384,2.6357,-0.9279,0.744,2.0192,-0.5204,1.5023,-0.7818,-1.0508,Square_face_shape
62.96,48.72,62.68,-1.4891,4.7014,-0.6683,0.6674,6.057,-0.1185,4.0425,-0.4789,-0.7176,Square_face_shape
67.75,54.25,79.57,-2.9729,3.1274,-0.7701,0.6899,1.9278,-0.5986,1.3301,-0.7962,-1.1541,Square_face_shape
68.27,52.81,86.29,-1.7002,3.4365,-0.8715,0.6612,1.7077,-0.7987,1.1291,-0.9018,-1.3639,Square_face_shape
64.2,51.67,64.37,-2.8953,3.3025,-0.7876,0.724,2.4447,-0.3657,1.7701,-0.6473,-0.894,Square_face_shape
74.1,60.69,78.15,-2.3472,3.0623,-0.8857,0.6563,1.7878,-0.7182,1.1733,-0.8426,-1.2839,Square_face_shape
70.48,57.57,74.66,-2.4081,2.9736,-0.8971,0.6508,1.945,-0.6382,1.2657,-0.8078,-1.2413,Square_face_shape
73.66,60.43,70.41,-2.6129,3.0327,-0.9291,0.7944,2.2525,-0.3968,1.7894,-0.7101,-0.8939,Square_face_shape
72.31,61.33,69.13,-2.6428,2.8774,-0.9762,0.6981,2.2395,-0.4572,1.5634,-0.7148,-1.024,Square_face_shape
73.11,58.22,79.33,-1.9109,4.2451,-0.6425,0.6014,2.1263,-0.4697,1.2787,-0.6005,-0.9986,Square_face_shape
72.77,57.6,85.05,-2.3297,3.5012,-0.708,0.6062,1.86,-0.7062,1.1275,-0.7962,-1.3136,Square_face_shape
65.9,52.64,82.0,-1.3118,4.8154,-0.6087,0.5716,2.1121,-0.4495,1.2073,-0.5426,-0.9493,Square_face_shape
67.63,55.58,70.7,-4.1431,2.8031,-0.8058,0.8254,2.9311,-0.297,2.4195,-0.7186,-0.8706,Square_face_shape
70.11,58.74,79.02,-3.0345,2.4826,-0.9574,0.7526,1.8258,-0.6622,1.3741,-0.9099,-1.209,Square_face_shape
69.43,57.76,75.12,-3.0492,2.5262,-0.9791,0.7886,1.9834,-0.5437,1.5642,-0.8505,-1.0784,Square_face_shape
74.97,64.71,87.22,-2.0346,3.1337,-0.8762,0.6091,1.7493,-0.7574,1.0656,-0.807,-1.3249,Square_face_shape
76.09,61.16,63.84,-2.0324,2.853,-1.0405,0.8177,2.3215,-0.4137,1.8983,-0.7852,-0.9603,Square_face_shape
71.92,57.62,75.68,-1.6816,3.9671,-0.7215,0.6608,2.1244,-0.4729,1.4038,-0.6638,-1.0045,Square_face_shape
69.61,53.64,83.49,-1.5311,3.2475,-0.9603,0.7502,1.9205,-0.6392,1.4407,-0.9209,-1.2276,Square_face_shape
68.41,55.28,93.7,-1.5985,2.8935,-1.0676,0.735,1.6042,-0.8274,1.1791,-0.9755,-1.3273,Square_face_shape
70.64,58.16,85.26,-1.5393,3.0635,-1.0045,0.6803,1.7059,-0.7796,1.1605,-0.9047,-1.3299,Square_face_shape
72.07,59.16,80.7,-1.4732,3.0637,-1.0786,0.6799,1.8143,-0.7145,1.2336,-0.8814,-1.2964,Square_face_shape
67.47,54.79,89.58,-1.3949,3.4181,-0.8403,0.6857,1.7365,-0.6948,1.1907,-0.8272,-1.2064,Square_face_shape
72.47,59.3,88.47,-1.622,3.0447,-1.0189,0.693,1.5871,-0.9121,1.0999,-1.0032,-1.4476,Square_face_shape
64.44,51.34,73.71,-1.6092,3.1349,-0.9482,0.754,2.4235,-0.4243,1.8273,-0.7753,-1.0282,Square_face_shape
70.49,55.2,75.63,-2.0593,2.75,-0.9776,0.7872,1.7773,-0.6882,1.399,-0.9628,-1.2231,Square_face_shape
70.35,56.31,80.74,-2.299,2.7043,-0.937,0.7502,1.8674,-0.6252,1.4009,-0.8758,-1.1674,Square_face_shape
