chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,face_shape
63.54,51.65,72.76,-2.0884,3.6293,-0.7387,0.6967,2.2628,-0.3993,1.5764,-0.6295,-0.9036,Heart_face_shape
65.98,53.62,69.16,-2.4828,3.2163,-0.801,0.6958,2.448,-0.4016,1.7032,-0.684,-0.9831,Heart_face_shape
70.54,57.25,66.15,-2.4221,2.9205,-1.0044,0.6757,2.2532,-0.483,1.5225,-0.7354,-1.0884,Heart_face_shape
66.47,52.66,64.58,-3.1342,3.0333,-0.8479,0.7798,2.5671,-0.3554,2.0019,-0.7114,-0.9122,Heart_face_shape
62.68,52.6,68.96,-2.4493,3.0606,-0.8454,0.6889,1.9666,-0.5396,1.3548,-0.731,-1.0611,Heart_face_shape
68.48,55.02,72.82,-2.8619,3.3136,-0.7717,0.6579,2.5005,-0.4027,1.6451,-0.6625,-1.0069,Heart_face_shape
74.01,61.46,70.81,-3.1008,3.3355,-0.7425,0.6811,2.9411,-0.3007,2.0033,-0.6025,-0.8845,Heart_face_shape
59.44,46.92,57.3,-2.8088,3.2645,-0.7947,0.6524,2.8205,-0.3461,1.8402,-0.6368,-0.9761,Heart_face_shape
62.73,51.94,76.82,-2.3751,3.0823,-0.8488,0.6499,1.9649,-0.5876,1.277,-0.7504,-1.1546,Heart_face_shape
63.71,52.66,70.11,-1.7814,3.7534,-0.7689,0.6173,2.5,-0.3861,1.5432,-0.5959,-0.9653,Heart_face_shape
69.15,57.72,69.96,-2.199,3.0213,-0.9757,0.7672,2.1372,-0.4419,1.6397,-0.7247,-0.9446,Heart_face_shape
65.1,53.36,66.58,-2.562,2.8007,-0.9615,0.7236,2.1053,-0.5151,1.5233,-0.7847,-1.0844,Heart_face_shape
71.83,57.69,71.12,-2.1033,3.7713,-0.7238,0.6938,2.8186,-0.3124,1.9555,-0.6109,-0.8805,Heart_face_shape
66.97,51.89,79.94,-1.6045,4.5934,-0.6036,0.6803,2.9007,-0.2787,1.9734,-0.5499,-0.8083,Heart_face_shape
66.6,50.25,77.37,-3.8666,2.9146,-0.7814,0.8361,2.9863,-0.3038,2.4968,-0.7585,-0.9071,Heart_face_shape
58.98,46.09,70.11,-2.4258,3.2467,-0.7754,0.796,3.4757,-0.2296,2.7668,-0.6354,-0.7982,Heart_face_shape
59.53,46.22,65.35,-1.6419,3.963,-0.7094,0.6432,3.3525,-0.2597,2.1564,-0.5599,-0.8705,Heart_face_shape
67.17,54.22,71.54,-1.8843,3.2869,-0.9575,0.6058,1.8927,-0.6467,1.1466,-0.7415,-1.224,Heart_face_shape
68.2,54.81,73.98,-2.0787,3.5734,-0.8099,0.7478,2.3491,-0.3725,1.7568,-0.6544,-0.8751,Heart_face_shape
59.97,47.67,63.91,-1.7366,3.3176,-0.9491,0.6732,2.5268,-0.3986,1.7011,-0.6782,-1.0073,Heart_face_shape
61.65,45.74,65.05,-2.5159,3.3776,-0.7525,0.7792,3.2817,-0.2596,2.5571,-0.6639,-0.8521,Heart_face_shape
67.78,53.78,66.77,-3.5228,2.3923,-0.9672,0.9008,2.6805,-0.3442,2.4145,-0.8311,-0.9227,Heart_face_shape
64.54,53.67,65.46,-2.1441,3.2507,-0.8622,0.6546,2.4424,-0.4157,1.5988,-0.6647,-1.0154,Heart_face_shape
