chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,face_shape
66.6,50.25,77.37,-3.8666,2.9146,-0.7814,0.8361,2.9863,-0.3038,Heart_face_shape
58.98,46.09,70.11,-2.4258,3.2467,-0.7754,0.796,3.4757,-0.2296,Heart_face_shape
59.53,46.22,65.35,-1.6419,3.963,-0.7094,0.6432,3.3525,-0.2597,Heart_face_shape
67.17,54.22,71.54,-1.8843,3.2869,-0.9575,0.6058,1.8927,-0.6467,Heart_face_shape
68.2,54.81,73.98,-2.0787,3.5734,-0.8099,0.7478,2.3491,-0.3725,Heart_face_shape
59.97,47.67,63.91,-1.7366,3.3176,-0.9491,0.6732,2.5268,-0.3986,Heart_face_shape
61.65,45.74,65.05,-2.5159,3.3776,-0.7525,0.7792,3.2817,-0.2596,Heart_face_shape
67.78,53.78,66.77,-3.5228,2.3923,-0.9672,0.9008,2.6805,-0.3442,Heart_face_shape
64.54,53.67,65.46,-2.1441,3.2507,-0.8622,0.6546,2.4424,-0.4157,Heart_face_shape
61.23,49.14,62.97,-2.4224,2.5826,-1.004,0.801,2.215,-0.4833,Heart_face_shape
63.9,49.44,68.67,-2.3093,3.8815,-0.6701,0.6238,2.9796,-0.3089,Heart_face_shape
75.79,63.76,78.33,-1.8402,3.6255,-0.7814,0.6493,2.4965,-0.3865,Heart_face_shape
67.71,55.95,75.36,-2.2554,3.1854,-0.8551,0.6071,2.0979,-0.5833,Heart_face_shape
73.34,61.46,72.58,-2.9645,3.0616,-0.9191,0.6628,2.2312,-0.4591,Heart_face_shape
65.35,52.5,70.95,-2.7201,3.2432,-0.7654,0.7431,2.2846,-0.4052,Heart_face_shape
64.49,51.07,70.06,-2.6433,2.9217,-0.8658,0.7707,2.6667,-0.3543,Heart_face_shape
77.15,63.59,72.8,-2.1465,2.9277,-1.06,0.7422,2.2744,-0.4365,Heart_face_shape
70.93,59.5,74.26,-2.3342,3.0698,-0.9086,0.7324,2.2957,-0.4167,Heart_face_shape
59.44,46.92,57.3,-2.8088,3.2645,-0.7947,0.6524,2.8205,-0.3461,Heart_face_shape
67.17,54.51,73.02,-1.4275,4.9392,-0.603,0.5425,2.8005,-0.3124,Heart_face_shape
76.28,62.0,69.25,-2.2143,3.1817,-0.9019,0.6891,2.3158,-0.4253,Heart_face_shape
59.97,46.4,75.35,-1.8778,4.4556,-0.5915,0.6251,2.5991,-0.3368,Heart_face_shape
69.25,56.03,71.91,-3.0905,2.867,-0.8526,0.7005,2.4431,-0.4445,Heart_face_shape
67.29,53.95,64.12,-2.5383,3.0135,-0.8383,0.794,2.7542,-0.3088,Heart_face_shape
65.0,49.45,70.13,-1.4382,4.8165,-0.5751,0.6123,3.3995,-0.2518,Oblong_face_shape
77.04,62.06,69.53,-1.4959,4.4555,-0.7058,0.6694,3.5133,-0.2168,Oblong_face_shape
70.54,56.01,68.76,-1.3001,5.4071,-0.5739,0.5405,3.104,-0.2683,Oblong_face_shape
70.26,56.93,71.94,-2.376,3.3271,-0.7965,0.7419,2.7009,-0.3243,Oblong_face_shape
59.35,46.41,67.52,-1.6453,4.3236,-0.622,0.7249,3.5964,-0.2043,Oblong_face_shape
63.98,50.1,72.69,-1.5224,4.3529,-0.6596,0.5971,2.3282,-0.4243,Oblong_face_shape
56.46,42.39,66.21,-2.264,3.7032,-0.6791,0.8292,4.4739,-0.1598,Oblong_face_shape
64.04,50.4,76.34,-1.6378,4.3794,-0.6435,0.6862,3.2012,-0.2459,Oblong_face_shape
69.52,54.77,80.2,-0.9913,6.4523,-0.472,0.5203,3.146,-0.2509,Oblong_face_shape
50.88,36.41,55.62,-2.4916,4.2001,-0.5945,0.6974,5.5014,-0.1318,Oblong_face_shape
80.23,66.87,67.81,-1.5963,4.4737,-0.7655,0.521,2.515,-0.3881,Oblong_face_shape
69.42,54.98,76.85,-1.4756,5.1501,-0.5404,0.6051,3.4962,-0.2279,Oblong_face_shape
69.44,54.98,67.32,-1.2463,5.1584,-0.6039,0.5311,3.0873,-0.2937,Oblong_face_shape
73.33,58.21,75.9,-1.4934,4.7146,-0.6173,0.6165,3.1155,-0.2688,Oblong_face_shape
57.64,39.64,73.95,-2.2392,3.2898,-0.747,0.6648,2.0587,-0.6133,Oblong_face_shape
71.15,58.13,67.59,-1.0544,5.8965,-0.5397,0.4889,3.4776,-0.2394,Oblong_face_shape
67.83,53.89,66.15,-1.0986,5.425,-0.6348,0.6251,4.6336,-0.1522,Oblong_face_shape
65.34,49.73,76.01,-1.2003,5.933,-0.4761,0.446,3.1831,-0.3237,Oblong_face_shape
64.23,49.69,75.76,-1.8626,3.3368,-0.8671,0.6522,1.9349,-0.6576,Oblong_face_shape
61.47,46.66,70.87,-2.4199,3.8476,-0.6889,0.7026,2.6173,-0.3425,Oblong_face_shape
72.5,59.66,77.03,-1.1156,4.8515,-0.7042,0.4347,2.0828,-0.6078,Oblong_face_shape
65.24,50.85,63.79,-1.8248,3.7156,-0.7956,0.8377,3.379,-0.208,Oblong_face_shape
66.8,52.77,65.01,-2.313,3.4706,-0.7998,0.7875,3.3224,-0.2297,Oblong_face_shape
59.52,46.65,60.6,-2.5568,3.3847,-0.768,0.7954,3.7291,-0.2084,Oblong_face_shape
62.47,47.88,65.72,-1.8352,3.958,-0.6784,0.8059,3.7715,-0.1953,Oblong_face_shape
73.87,60.41,65.07,-2.0998,3.9725,-0.7136,0.756,4.325,-0.1595,Oblong_face_shape
67.76,53.32,67.28,-1.1185,5.5645,-0.5718,0.5044,3.0532,-0.2919,Oblong_face_shape
75.41,61.26,66.3,-1.3311,5.1786,-0.6315,0.6338,15.8212,-0.0399,Oblong_face_shape
46.01,33.68,57.05,-1.9395,3.4464,-0.7375,0.7509,3.605,-0.236,Oblong_face_shape
61.74,46.41,66.08,-2.2356,3.3994,-0.7787,0.6929,2.4271,-0.4278,Oblong_face_shape
67.01,52.63,65.39,-2.3941,3.491,-0.7668,0.7459,2.9315,-0.2899,Oblong_face_shape
69.62,54.2,66.8,-1.5778,4.8031,-0.5914,0.6888,4.3264,-0.1595,Oblong_face_shape
64.1,49.94,73.1,-1.7331,4.29,-0.6513,0.6431,3.141,-0.2746,Oblong_face_shape
62.8,45.04,78.47,-2.9483,3.5515,-0.6832,0.6742,2.2192,-0.4922,Oblong_face_shape
74.33,63.29,67.36,-1.6842,3.7527,-0.8354,0.6422,3.0079,-0.2902,Oblong_face_shape
74.68,60.51,89.95,-2.3724,3.3379,-0.8008,0.6699,1.9463,-0.614,Oblong_face_shape
73.77,59.17,79.3,-2.8801,3.3131,-0.7503,0.8089,2.8885,-0.292,Oblong_face_shape
67.39,53.21,69.91,-2.0593,2.7469,-1.0533,0.746,1.8533,-0.6559,Oblong_face_shape
69.65,54.93,70.82,-1.8332,4.4825,-0.6145,0.7117,3.6831,-0.1938,Oblong_face_shape
62.65,48.08,64.61,-2.1248,3.9014,-0.7129,0.6567,3.0484,-0.2942,Oblong_face_shape
68.31,55.19,68.76,-1.5545,3.9622,-0.7605,0.6861,2.7307,-0.3112,Oblong_face_shape
71.68,57.5,68.16,-1.5692,4.5187,-0.6858,0.6688,3.6588,-0.2072,Oblong_face_shape
71.11,56.21,79.84,-1.7011,4.603,-0.5998,0.5186,2.0264,-0.5904,Oblong_face_shape
74.17,58.27,72.9,-1.1666,5.2655,-0.611,0.6086,3.3958,-0.2401,Oblong_face_shape
58.2,43.85,56.72,-2.8523,3.532,-0.7103,0.8172,5.1145,-0.1386,Oblong_face_shape
