Norm_Forehead_Width,Norm_Cheekbone_Width,Norm_Jawline_Length,Norm_Facial_Length,Chin_Angle_1,Chin_Angle_2,Cheek_Bone_Angle,forehead_to_cheekbone_ratio,faciallength_to_foreheadwidth_ratio,Target
3.4336,2.5769,2.0486,5.2698,66.61,53.51,61.09,1.3325,1.5348,Oblong
3.2997,2.4007,1.9057,5.1993,65.54,51.24,70.6,1.3744,1.5757,Oblong
3.4503,2.4437,1.8286,5.3482,49.4,35.01,68.69,1.4119,1.5501,Oblong
3.2026,2.4067,2.0001,5.422,74.75,60.28,75.36,1.3307,1.693,Oblong
3.3574,2.3642,1.9785,4.8534,70.09,56.76,69.48,1.4201,1.4456,Oblong
3.4016,2.3997,1.9271,4.8981,61.46,48.44,63.99,1.4175,1.4399,Oblong
3.2033,2.3178,1.9966,5.4021,70.77,56.02,77.48,1.382,1.6864,Oblong
2.9636,2.2616,2.1657,6.1574,66.6,53.83,73.2,1.3104,2.0776,Oblong
3.354,2.4694,1.777,4.9478,64.85,50.21,81.94,1.3582,1.4752,Oblong
3.3376,2.4491,2.0014,5.1851,73.21,56.6,76.54,1.3628,1.5535,Oblong
3.3589,2.4335,1.9758,5.4989,57.32,43.07,72.84,1.3803,1.6371,Oblong
3.3688,2.4344,1.8703,4.6553,71.23,58.08,67.51,1.3838,1.3819,Oblong
3.1995,2.3957,1.8373,4.8595,63.39,49.63,57.19,1.3355,1.5188,Oblong
3.4656,2.5047,2.0465,5.3098,67.75,54.68,70.55,1.3836,1.5321,Oblong
3.1188,2.3434,1.8074,4.5611,70.58,55.63,63.34,1.3309,1.4624,Oblong
3.3112,2.3847,1.8853,5.0401,66.77,53.36,73.94,1.3885,1.5222,Oblong
3.2926,2.3754,1.9555,5.1499,70.79,56.58,65.27,1.3861,1.5641,Oblong
3.1762,2.4116,1.8984,4.9217,71.6,57.43,76.54,1.317,1.5496,Oblong
3.3558,2.4069,1.971,5.404,74.6,59.4,87.91,1.3943,1.6103,Oblong
3.3648,2.3971,1.8462,4.8258,61.17,45.79,61.22,1.4037,1.4342,Oblong
3.3465,2.5005,1.9692,5.0331,72.77,59.35,75.96,1.3383,1.504,Oblong
3.2155,2.405,1.9525,4.8787,77.61,63.28,72.57,1.337,1.5172,Oblong
3.3325,2.3894,1.9463,5.0139,58.73,45.51,53.41,1.3947,1.5045,Oblong
3.4482,2.4783,2.1176,5.3454,70.98,58.51,67.86,1.3913,1.5502,Oblong
3.4018,2.477,1.8704,5.0622,57.42,43.08,74.62,1.3734,1.4881,Oblong
3.3614,2.4781,1.9408,5.2149,62.52,48.45,76.93,1.3564,1.5514,Oblong
3.263,2.3397,2.01,5.0525,70.7,57.71,63.73,1.3946,1.5484,Oblong
3.1992,2.3685,2.1241,5.4981,74.78,61.35,71.6,1.3507,1.7186,Oblong
3.4435,2.4562,1.8861,5.4828,55.66,40.01,76.8,1.4019,1.5922,Oblong
3.2937,2.3882,1.9763,5.1777,64.06,50.43,77.18,1.3792,1.572,Oblong
