Norm_Forehead_Width,Norm_Cheekbone_Width,Norm_Jawline_Length,Norm_Facial_Length,Chin_Angle_1,Chin_Angle_2,Cheek_Bone_Angle,forehead_to_cheekbone_ratio,faciallength_to_foreheadwidth_ratio,Target
3.3524,2.4152,1.8329,4.8435,58.98,46.09,70.11,1.3881,1.4448,Heart
3.1531,2.2748,1.8378,4.7705,59.53,46.22,65.35,1.3861,1.513,Heart
3.2762,2.442,2.0425,4.719,71.09,61.32,64.33,1.3416,1.4404,Heart
3.3233,2.3653,2.0437,4.7549,67.17,54.22,71.54,1.4051,1.4308,Heart
3.252,2.3873,1.9474,4.7542,68.2,54.81,73.98,1.3622,1.4619,Heart
3.4114,2.3811,2.0685,4.9269,59.97,47.67,63.91,1.4327,1.4442,Heart
3.3695,2.4488,2.1102,5.1633,65.78,54.68,65.5,1.376,1.5324,Heart
3.3732,2.4649,1.8595,4.9184,61.65,45.74,65.05,1.3685,1.4581,Heart
3.3771,2.3845,1.8047,4.4534,67.78,53.78,66.77,1.4163,1.3187,Heart
3.426,2.3856,1.8455,4.6312,66.37,53.89,68.99,1.4361,1.3518,Heart
3.287,2.3617,1.9241,4.7073,64.54,53.67,65.46,1.3918,1.4321,Heart
3.4771,2.3744,1.9191,4.7124,61.23,49.14,62.97,1.4644,1.3553,Heart
3.2052,2.4064,1.8159,4.8113,63.9,49.44,68.67,1.332,1.5011,Heart
3.3287,2.3834,1.9324,4.9369,75.79,63.76,78.33,1.3966,1.4831,Heart
3.433,2.4501,1.9555,4.9214,67.71,55.95,75.36,1.4012,1.4336,Heart
3.3082,2.4593,1.9827,4.6168,73.34,61.46,72.58,1.3452,1.3956,Heart
3.2955,2.4159,1.812,4.7384,65.35,52.5,70.95,1.3641,1.4378,Heart
3.3586,2.3992,1.8584,4.6964,64.49,51.07,70.06,1.3999,1.3983,Heart
3.405,2.4031,2.0767,4.7227,77.15,63.59,72.8,1.4169,1.387,Heart
3.3982,2.4307,1.9754,4.8002,70.93,59.5,74.26,1.398,1.4126,Heart
3.3187,2.4573,1.8842,4.7573,59.44,46.92,57.3,1.3505,1.4335,Heart
3.0675,2.2998,1.8674,4.8457,67.17,54.51,73.02,1.3338,1.5797,Heart
3.2501,2.3482,1.9398,4.6058,76.28,62.0,69.25,1.3841,1.4171,Heart
3.2018,2.4047,1.8023,4.9997,59.97,46.4,75.35,1.3315,1.5615,Heart
3.3666,2.4373,1.8409,4.6775,69.25,56.03,71.91,1.3813,1.3894,Heart
3.2665,2.3445,1.8159,4.5983,67.29,53.95,64.12,1.3933,1.4077,Heart
