Norm_Forehead_Width,Norm_Cheekbone_Width,Norm_Jawline_Length,Norm_Facial_Length,Chin_Angle_1,Chin_Angle_2,Cheek_Bone_Angle,forehead_to_cheekbone_ratio,faciallength_to_foreheadwidth_ratio,Target
3.2011,2.3963,1.8503,4.9158,73.11,58.22,79.33,1.3359,1.5357,Square
3.2136,2.349,1.7543,4.7265,72.77,57.6,85.05,1.3681,1.4708,Square
3.1766,2.3069,1.8723,5.0594,65.9,52.64,82.0,1.377,1.5927,Square
3.353,2.4734,1.765,4.6305,67.63,55.58,70.7,1.3556,1.381,Square
3.3944,2.3703,1.8195,4.5363,70.11,58.74,79.02,1.4321,1.3364,Square
3.3701,2.3794,1.8622,4.5088,69.43,57.76,75.12,1.4164,1.3379,Square
3.29,2.3144,1.8894,4.6856,74.97,64.71,87.22,1.4215,1.4242,Square
3.3904,2.3412,2.0114,4.6932,76.09,61.16,63.84,1.4481,1.3843,Square
3.4106,2.4463,1.9678,5.2048,71.92,57.62,75.68,1.3941,1.5261,Square
3.5016,2.3377,2.0643,5.084,69.61,53.64,83.49,1.4979,1.4519,Square
3.4443,2.2515,2.0233,4.8336,68.41,55.28,93.7,1.5298,1.4034,Square
3.5073,2.2974,2.0437,5.0208,70.64,58.16,85.26,1.5266,1.4315,Square
3.4577,2.2645,2.088,4.9247,72.07,59.16,80.7,1.5269,1.4243,Square
3.2593,2.1546,1.8501,4.8152,67.47,54.79,89.58,1.5127,1.4774,Square
3.511,2.3333,2.0675,5.0007,72.47,59.3,88.47,1.5047,1.4243,Square
3.3901,2.2696,1.9702,4.8654,64.44,51.34,73.71,1.4937,1.4352,Square
3.3903,2.2948,1.8985,4.6806,70.49,55.2,75.63,1.4774,1.3806,Square
3.265,2.25,1.8028,4.4705,70.35,56.31,80.74,1.4511,1.3692,Square
